TimeStamp,Button,Temp-C,Humidity-%
21:10:13,False,nan,nan
21:10:16,False,nan,nan
21:10:18,False,nan,nan
21:10:20,True,nan,nan
21:10:22,True,nan,nan
21:10:29,False,nan,nan
21:10:31,False,nan,nan
21:10:34,False,nan,nan
21:10:36,False,nan,nan
TimeStamp,Button,Temp-C,Humidity-%
21:10:59,False,nan,nan
21:11:01,False,nan,nan
21:11:03,False,nan,nan
21:11:05,False,nan,nan
21:11:08,False,nan,nan
21:11:10,True,nan,nan
21:11:12,True,nan,nan
21:11:15,False,nan,nan
21:11:17,False,nan,nan
21:11:19,False,nan,nan
TimeStamp,Button,Temp-C,Humidity-%
21:13:47,False,nan,nan
21:13:49,True,nan,nan
21:13:52,True,nan,nan
21:13:54,False,nan,nan
21:13:56,False,nan,nan
21:13:58,False,nan,nan
21:14:01,False,nan,nan
21:14:03,False,nan,nan
21:14:05,False,nan,nan
21:14:08,False,nan,nan
TimeStamp,Button,Temp-C,Humidity-%
21:17:17,False,22.90,35.00
21:17:20,False,23.00,35.00
21:17:22,False,23.00,35.00
21:17:24,False,23.00,35.00
21:17:26,True,23.10,35.00
21:17:29,True,23.10,35.00
21:17:31,False,23.10,35.00
21:17:33,True,23.10,35.00
21:17:35,True,23.20,35.00
TimeStamp,Button,Temp-C,Humidity-%
TimeStamp,Button,Temp-C,Humidity-%
TimeStamp,Button,Temp-C,Humidity-%
09:04:08,False,nan,nan
09:04:15,False,nan,nan
09:04:17,True,nan,nan
09:04:19,True,nan,nan
09:04:22,True,nan,nan
09:04:24,False,nan,nan
09:04:26,False,nan,nan
09:04:28,False,nan,nan
09:04:31,False,nan,nan
TimeStamp,Button,Temp-C,Humidity-%
09:04:54,False,nan,nan
09:04:56,False,nan,nan
09:04:58,True,nan,nan
09:05:00,True,nan,nan
09:05:03,False,nan,nan
09:05:05,False,nan,nan
09:05:07,False,nan,nan
09:05:10,False,nan,nan
09:05:12,False,nan,nan
09:05:14,False,nan,nan
TimeStamp,Button,Temp-C,Humidity-%
09:05:58,False,nan,nan
09:06:00,False,nan,nan
09:06:03,False,nan,nan
09:06:05,True,nan,nan
09:06:07,True,nan,nan
09:06:09,False,nan,nan
09:06:12,False,nan,nan
09:06:14,False,nan,nan
09:06:16,False,nan,nan
09:06:19,False,nan,nan
TimeStamp,Button,Temp-C,Humidity-%
11:10:28,False,nan,nan
11:10:30,False,nan,nan
11:10:32,True,nan,nan
11:10:35,False,nan,nan
TimeStamp,Button,Temp-C,Humidity-%
11:10:53,False,nan,nan
11:10:55,False,nan,nan
11:10:57,True,nan,nan
11:11:00,True,nan,nan
11:11:02,False,nan,nan
11:11:04,False,nan,nan
11:11:06,False,nan,nan
11:11:09,False,nan,nan
11:11:11,False,nan,nan
11:11:13,False,nan,nan
TimeStamp,Button,Temp-C,Humidity-%
11:11:38,False,nan,nan
11:11:40,False,nan,nan
11:11:47,False,nan,nan
11:11:49,False,nan,nan
11:11:52,False,nan,nan
11:11:54,False,nan,nan
11:11:56,False,nan,nan
11:11:58,False,nan,nan
11:12:01,False,nan,nan
TimeStamp,Button,Temp-C,Humidity-%
11:12:11,False,nan,nan
11:12:13,False,nan,nan
11:12:16,True,nan,nan
11:12:18,True,nan,nan
11:12:20,True,nan,nan
11:12:22,False,nan,nan
11:12:25,False,nan,nan
11:12:27,False,nan,nan
11:12:29,False,nan,nan
11:12:32,False,nan,nan
TimeStamp,Button,Temp-C,Humidity-%
TimeStamp,Button,Temp-C,Humidity-%
11:13:04,False,nan,nan
11:13:10,True,nan,nan
11:13:13,True,nan,nan
11:13:15,False,nan,nan
11:13:20,False,nan,nan
11:13:22,False,nan,nan
11:13:24,False,nan,nan
11:13:27,False,nan,nan
TimeStamp,Button,Temp-C,Humidity-%
13:59:36,False,nan,nan
13:59:38,False,nan,nan
13:59:40,False,nan,nan
13:59:43,False,nan,nan
13:59:45,True,nan,nan
13:59:47,False,nan,nan
13:59:49,False,nan,nan
13:59:52,False,nan,nan
13:59:54,False,nan,nan
13:59:56,False,nan,nan
TimeStamp,Button,Temp-C,Humidity-%
14:12:20,False,25.50,21.00
14:12:22,False,25.10,20.00
14:12:24,False,25.10,19.00
14:12:26,False,25.10,20.00
14:12:28,False,25.20,20.00
14:12:31,False,25.20,19.00
14:12:33,True,25.20,19.00
14:12:35,True,25.20,19.00
14:12:37,False,25.30,20.00
14:12:40,False,25.30,20.00
TimeStamp,Button,Temp-C,Humidity-%
14:13:20,False,25.30,20.00
14:13:22,False,25.10,19.00
14:13:24,False,25.10,20.00
14:13:26,False,25.90,72.00
14:13:29,False,26.80,95.00
14:13:31,False,26.80,95.00
14:13:33,False,26.60,95.00
14:13:35,False,26.20,95.00
14:13:37,False,25.90,95.00
14:13:40,False,25.60,95.00
